,interaction,features,odds,p,is_significant,q,log_o,log_q
40,CHEBI:30769:-,IPR000023,92.04706853839802,6.15610371559182e-22,True,4.0054792580055183e-19,1.964009961901737,18.397345512874445
45,CHEBI:28013:+,IPR015813,41.2111801242236,1.1373510018791294e-17,True,4.195014128459657e-15,1.6150150511686046,14.377266572165022
46,CHEBI:28898:-,IPR000850,699.375,1.8427717745207951e-31,True,2.6677806979737552e-27,2.8447101038724254,26.57384987399626
49,CHEBI:58095:-,IPR045865,41.8172268907563,9.714947665149613e-18,True,3.6172558345015865e-15,1.6213552291996236,14.44162077418471
53,CHEBI:57926:-,IPR045865,75.40723981900453,5.4203303250422774e-21,True,3.202862127168859e-18,1.8774130443114383,17.49446175590331
54,CHEBI:17794:+,IPR005836,3917.0833333333335,3.107855959035213e-32,True,5.998990762527037e-28,3.592962810971366,27.221921806805106
55,CHEBI:17794:+,IPR029044,73.33490566037736,1.7043472814097493e-19,True,7.771286800935099e-17,1.8653107376339793,16.109507063017038
56,CHEBI:28013:+,IPR005835,222.13333333333333,2.4944529819798796e-23,True,1.9006418852696168e-20,2.3466137336790687,19.721099704229992
57,CHEBI:28013:+,IPR011004,110.96666666666667,5.862228566204773e-21,True,3.42898921022006e-18,2.045192540437005,17.464833881449437
58,CHEBI:17794:+,IPR005835,652.3611111111111,7.898086962095939e-29,True,3.5181724600080896e-25,2.8144880637519805,24.45368287534073
59,CHEBI:28013:+,IPR011831,1333.8,1.0135389911162276e-26,True,1.6303337749321806e-23,3.1250907130826344,22.787723474263593
